"behavior","flight_id","source_flight_object","radar_object","drone_object","radar_file","drone_file","radar_location_file","radar_site","radar_type","offset_GPS","configured_start_time","configured_end_time","drone_indices","detection_rate_include","positional_discrepancy_include","exclusion_notes"
"DynoSoaring","DynoSoaring_10","flight10","radar_0106_0402","drone_0106_0402","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0106_0402_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-6th-2026-04-02PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T00:03:07Z","2026-01-07T00:11:24Z","651:5613",TRUE,TRUE,
"DynoSoaring","DynoSoaring_11","flight11","radar_0106_0414","drone_0106_0414","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0106_0414_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-6th-2026-04-14PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T00:15:22Z","2026-01-07T00:20:40Z","608:3787",TRUE,TRUE,
"DynoSoaring","DynoSoaring_12","flight12","radar_0106_0425","drone_0106_0425","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0106_0425_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-6th-2026-04-25PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T00:26:42Z","2026-01-07T00:32:00Z","605:3781",TRUE,TRUE,
"DynoSoaring","DynoSoaring_13","flight13","radar_0106_0434","drone_0106_0434","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0106_0434_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-6th-2026-04-34PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T00:35:59Z","2026-01-07T00:41:33Z","607:3944",TRUE,TRUE,
"DynoSoaring","DynoSoaring_14","flight14","radar_0106_0444","drone_0106_0444","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0106_0444_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-6th-2026-04-44PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T00:45:30Z","2026-01-07T00:50:34Z","609:3648",TRUE,TRUE,
"DynoSoaring","DynoSoaring_15","flight15","radar_0106_0456","drone_0106_0456","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0106_0456_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-6th-2026-04-56PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T00:57:40Z","2026-01-07T01:02:50Z","617:3716",TRUE,TRUE,
"DynoSoaring","DynoSoaring_16","flight16","radar_0107_0825","drone_0107_0825","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0107_0825_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-7th-2026-08-25AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T16:26:38Z","2026-01-07T16:29:31Z","872:2598",TRUE,TRUE,
"DynoSoaring","DynoSoaring_17","flight17","radar_0107_0832","drone_0107_0832","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0107_0832_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-7th-2026-08-32AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T16:33:49Z","2026-01-07T16:36:43Z","734:2534",TRUE,TRUE,
"DynoSoaring","DynoSoaring_18","flight18","radar_0107_0840","drone_0107_0840","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0107_0840_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-7th-2026-08-40AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T16:41:15Z","2026-01-07T16:46:05Z","723:3620",TRUE,TRUE,
"DynoSoaring","DynoSoaring_19","flight19","radar_0107_0852","drone_0107_0852","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0107_0852_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-7th-2026-08-52AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T16:53:42Z","2026-01-07T16:58:32Z","811:3702",TRUE,TRUE,
"DynoSoaring","DynoSoaring_20","flight20","radar_0107_0902","drone_0107_0902","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0107_0902_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-7th-2026-09-02AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T17:03:45Z","2026-01-07T17:08:35Z","848:3740",TRUE,TRUE,
"DynoSoaring","DynoSoaring_21","flight21","radar_0107_0911","drone_0107_0911","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0107_0911_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-7th-2026-09-11AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T17:12:44Z","2026-01-07T17:17:33Z","716:3604",TRUE,TRUE,
"DynoSoaring","DynoSoaring_22","flight22","radar_0107_0921","drone_0107_0921","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0107_0921_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-7th-2026-09-21AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T17:22:15Z","2026-01-07T17:25:39Z","732:2771",TRUE,TRUE,
"DynoSoaring","DynoSoaring_23","flight23","radar_0107_0929","drone_0107_0929","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0107_0929_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-7th-2026-09-29AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T17:30:31Z","2026-01-07T17:33:50Z","818:2804",TRUE,TRUE,
"DynoSoaring","DynoSoaring_24","flight24","radar_0107_0937","drone_0107_0937","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0107_0937_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-7th-2026-09-37AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T17:39:13Z","2026-01-07T17:42:37Z","855:2893",TRUE,TRUE,
"DynoSoaring","DynoSoaring_25","flight25","radar_0107_0946","drone_0107_0946","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0107_0946_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-7th-2026-09-46AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T17:47:39Z","2026-01-07T17:51:03Z","735:2775",TRUE,TRUE,
"DynoSoaring","DynoSoaring_26","flight26","radar_0107_0955","drone_0107_0955","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0107_0955_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-7th-2026-09-55AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T17:56:22Z","2026-01-07T18:02:25Z","759:4386",TRUE,TRUE,
"DynoSoaring","DynoSoaring_27","flight27","radar_0107_1007","drone_0107_1007","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0107_1007_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-7th-2026-10-07AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T18:08:54Z","2026-01-07T18:14:25Z","770:4072",TRUE,TRUE,
"DynoSoaring","DynoSoaring_28","flight28","radar_0107_1017","drone_0107_1017","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0107_1017_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-7th-2026-10-17AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T18:19:20Z","2026-01-07T18:24:52Z","855:4172",TRUE,TRUE,
"DynoSoaring","DynoSoaring_29","flight29","radar_0107_1028","drone_0107_1028","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0107_1028_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-7th-2026-10-28AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T18:29:32Z","2026-01-07T18:33:40Z","682:3162",TRUE,TRUE,
"DynoSoaring","DynoSoaring_30","flight30","radar_0107_1037","drone_0107_1037","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0107_1037_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-7th-2026-10-37AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T18:38:36Z","2026-01-07T18:41:34Z","760:2538",TRUE,TRUE,
"DynoSoaring","DynoSoaring_31","flight31","radar_0107_1045","drone_0107_1045","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0107_1045_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-7th-2026-10-45AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T18:46:37Z","2026-01-07T18:49:37Z","842:2642",TRUE,TRUE,
"DynoSoaring","DynoSoaring_32","flight32","radar_0107_1052","drone_0107_1052","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0107_1052_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-7th-2026-10-52AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-07T18:54:14Z","2026-01-07T18:57:15Z","918:2726",TRUE,TRUE,
"DynoSoaring","DynoSoaring_33","flight33","radar_0108_0721","drone_0108_0721","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0108_0721_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-8th-2026-07-21AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-08T15:22:28Z","2026-01-08T15:25:27Z","751:2539",TRUE,TRUE,
"DynoSoaring","DynoSoaring_34","flight34","radar_0108_0728","drone_0108_0728","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0108_0728_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-8th-2026-07-28AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-08T15:29:26Z","2026-01-08T15:32:26Z","831:2624",TRUE,TRUE,
"DynoSoaring","DynoSoaring_35","flight35","radar_0108_0820","drone_0108_0820","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0108_0820_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-8th-2026-08-20AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-08T16:21:34Z","2026-01-08T16:24:35Z","919:2728",TRUE,TRUE,
"DynoSoaring","DynoSoaring_36","flight36","radar_0108_0827","drone_0108_0827","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0108_0827_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-8th-2026-08-27AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-08T16:29:17Z","2026-01-08T16:32:15Z","1065:2838",TRUE,TRUE,
"DynoSoaring","DynoSoaring_37","flight37","radar_0109_1027","drone_0109_1027","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0109_1027_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-9th-2026-10-27AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-09T18:28:53Z","2026-01-09T18:31:54Z","836:2645",TRUE,TRUE,
"DynoSoaring","DynoSoaring_38","flight38","radar_0109_1035","drone_0109_1035","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0109_1035_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-9th-2026-10-35AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-09T18:36:49Z","2026-01-09T18:39:48Z","928:2718",TRUE,TRUE,
"DynoSoaring","DynoSoaring_39","flight39","radar_0109_1043","drone_0109_1043","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0109_1043_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-9th-2026-10-43AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-09T18:44:48Z","2026-01-09T18:47:45Z","1021:2791",TRUE,TRUE,
"DynoSoaring","DynoSoaring_40","flight40","radar_0109_1054","drone_0109_1054","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0109_1054_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-9th-2026-10-54AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-09T18:55:34Z","2026-01-09T18:59:06Z","750:2868",TRUE,TRUE,
"DynoSoaring","DynoSoaring_41","flight41","radar_0109_1104","drone_0109_1104","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0109_1104_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-9th-2026-11-04AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-09T19:06:17Z","2026-01-09T19:09:50Z","820:2950",TRUE,TRUE,
"DynoSoaring","DynoSoaring_42","flight42","radar_0109_1114","drone_0109_1114","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0109_1114_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-9th-2026-11-14AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-09T19:16:09Z","2026-01-09T19:19:42Z","938:3065",TRUE,TRUE,
"DynoSoaring","DynoSoaring_43","flight43","radar_0109_1124","drone_0109_1124","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0109_1124_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-9th-2026-11-24AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-09T19:26:39Z","2026-01-09T19:30:08Z","1039:3127",TRUE,TRUE,
"DynoSoaring","DynoSoaring_44","flight44","radar_0109_1135","drone_0109_1135","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0109_1135_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-9th-2026-11-35AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-09T19:37:07Z","2026-01-09T19:42:05Z","720:3700",TRUE,TRUE,
"DynoSoaring","DynoSoaring_45","flight45","radar_0109_1145","drone_0109_1145","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0109_1145_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-9th-2026-11-45AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-09T19:46:32Z","2026-01-09T19:51:30Z","754:3733",TRUE,TRUE,
"DynoSoaring","DynoSoaring_46","flight46","radar_0109_1156","drone_0109_1156","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0109_1156_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-9th-2026-11-56AM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-09T19:57:28Z","2026-01-09T20:02:26Z","861:3839",TRUE,TRUE,
"DynoSoaring","DynoSoaring_47","flight47","radar_0109_1205","drone_0109_1205","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0109_1205_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-9th-2026-12-05PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-09T20:06:46Z","2026-01-09T20:11:43Z","739:3710",TRUE,TRUE,
"DynoSoaring","DynoSoaring_48","flight48","radar_0109_0339","drone_0109_0339","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0109_0339_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-9th-2026-03-39PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-09T23:40:42Z","2026-01-09T23:46:39Z","800:4363",TRUE,TRUE,
"DynoSoaring","DynoSoaring_49","flight49","radar_0109_0349","drone_0109_0349","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0109_0349_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-9th-2026-03-49PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-09T23:50:47Z","2026-01-09T23:56:25Z","897:4264",TRUE,TRUE,
"DynoSoaring","DynoSoaring_50","flight50","radar_0109_0359","drone_0109_0359","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0109_0359_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-9th-2026-03-59PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-10T00:00:36Z","2026-01-10T00:06:16Z","831:4229",TRUE,TRUE,
"DynoSoaring","DynoSoaring_51","flight51","radar_0109_0409","drone_0109_0409","data/Dangermond 2026/9090RADAR_cleanedAndMatched_dynosoar/0109_0409_DynamicSoaring_Final.csv","data/Dangermond 2026/Air3/Dynamic Soaring/Jan-9th-2026-04-09PM-Flight-Airdata.csv","data/Dangermond 2026/Dangermond_RadarLocation_school_2026_01_05_v2.txt","School 2026",9090,-1,"2026-01-10T00:10:31Z","2026-01-10T00:15:57Z","869:4126",TRUE,TRUE,
